"","X.1","X","filename","trialID","trial_value","sign_start","sign_end","speakerName","Try.marking","T0","T.1","Teaching","Candidate.Understanding","Comments","KS.Try.marking","KS.T0","KS.T.1","KS.Teaching","KS.Candidate.Understanding","CU.disagree","T0.disagree","T.1.disagree","Teaching.disagree","Try.marking.disagree"
"1",184,118,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 19 sec","21 min 21 sec","India",FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"2",189,124,"Colour_game_01_1_Jordan-India_After_one_week.eaf",21,18,"21 min 25 sec","21 min 25 sec","Jordan",TRUE,TRUE,FALSE,FALSE,TRUE,"",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"4",86,75,"Colour_game_01_1_Jordan-India_After_one_week.eaf",17,24,"3 min 12 sec","3 min 15 sec","India",TRUE,FALSE,TRUE,FALSE,FALSE,"",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"6",28,211,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 14 sec","1 min 15 sec","Indonesia",FALSE,TRUE,FALSE,FALSE,TRUE,"",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"7",35,194,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 28 sec","1 min 32 sec","Nepal",TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"9",45,202,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 54 sec","1 min 57 sec","Nepal",FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
"10",24,191,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,18,"1 min 9 sec","1 min 12 sec","Nepal",TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"11",171,159,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",2,5,"17 min 1 sec","17 min 2 sec","Indonesia",FALSE,FALSE,FALSE,FALSE,FALSE,"",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"12",141,181,"Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",13,18,"7 min 17 sec","7 min 19 sec","Nepal",TRUE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"14",256,286,"Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",28,7,"2 min 43 sec","2 min 44 sec","Indonesia",FALSE,FALSE,FALSE,FALSE,FALSE,"",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
