	X	filename	trialID	trial_value	sign_start	sign_end	speakerName	Try-marking	T0	T-1	Teaching	Candidate Understanding	Comments
184	118	Colour_game_01_1_Jordan-India_After_one_week.eaf	21	18	21 min 19 sec	21 min 21 sec	India	NO	NO	NO	NO	NO	
189	124	Colour_game_01_1_Jordan-India_After_one_week.eaf	21	18	21 min 25 sec	21 min 25 sec	Jordan	YES	YES	NO	NO	YES	
211	17	Colour_game_01_1_Jordan-India_After_one_week.eaf	9	14	29 min 1 sec	29 min 3 sec	Jordan	NO	NO	NO	NO	NO	
86	75	Colour_game_01_1_Jordan-India_After_one_week.eaf	17	24	3 min 12 sec	3 min 15 sec	India	YES	NO	YES	NO	NO	
91	77	Colour_game_01_1_Jordan-India_After_one_week.eaf	17	24	3 min 18 sec	3 min 21 sec	India	NO	NO	NO	NO	NO	T+1
28	211	Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf	14	18	1 min 14 sec	1 min 15 sec	Indonesia	NO	YES	NO	NO	YES	
35	194	Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf	14	18	1 min 28 sec	1 min 32 sec	Nepal	YES	NO	NO	NO	NO	
38	196	Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf	14	18	1 min 33 sec	1 min 34 sec	Nepal	NO	NO	NO	NO	NO	T+1
45	202	Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf	14	18	1 min 54 sec	1 min 57 sec	Nepal	NO	NO	NO	NO	NO	
24	191	Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf	14	18	1 min 9 sec	1 min 12 sec	Nepal	YES	NO	NO	NO	NO	
171	159	Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf	2	5	17 min 1 sec	17 min 2 sec	Indonesia	NO	NO	NO	NO	NO	
141	181	Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf	13	18	7 min 17 sec	7 min 19 sec	Nepal	YES	NO	NO	NO	NO	
302	272	Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf	21	5	10 min 3 sec	10 min 4 sec	Indonesia	NO	NO	NO	NO	NO	
256	286	Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf	28	7	2 min 43 sec	2 min 44 sec	Indonesia	NO	NO	NO	NO	NO	
286	276	Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf	23	24	8 min 22 sec	8 min 23 sec	Indonesia	YES	NO	YES	NO	NO	
298	273	Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf	21	5	9 min 56 sec	9 min 57 sec	Jordan	na	na	na	na	na	The Jordan signer is not signing here. He is 1 second later. Either the annotation is misaligned with the video or placed on the wrong tier?
230	300	Colour_game_01_2_Nepal-India_After_one_week.eaf	3	18	0 min 15 sec	0 min 16 sec	Nepal	YES	NO	NO	NO	NO	
