RandomVariants_Balanced_ForConnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,filename,trialID,trial_value,sign_start,sign_end,speakerName,TryMarked,TryMarked,Teach,Tminus1,T_minus_1,T0,T0,Teach,sign_start2,sign_end2,X,filename,trialID,trial_value,sign_start,sign_end,speakerName,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,17,Colour_game_01_1_Jordan-India_After_one_week.eaf,9,14,1741962,1743205,Jordan,FALSE,N,FALSE,N,FALSE,N,FALSE,N,29 min 1 sec,29 min 3 sec,17,Colour_game_01_1_Jordan-India_After_one_week.eaf,9,14,1741962,1743205,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,34,Colour_game_01_1_Jordan-India_After_one_week.eaf,14,7,13967,15150,Jordan,FALSE,N,FALSE,N,FALSE,N,FALSE,N,0 min 13 sec,0 min 15 sec,34,Colour_game_01_1_Jordan-India_After_one_week.eaf,14,7,13967,15150,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,36,Colour_game_01_1_Jordan-India_After_one_week.eaf,14,7,17690,19207,Jordan,TRUE,Y,FALSE,Y,TRUE,Y,FALSE,N,0 min 17 sec,0 min 19 sec,36,Colour_game_01_1_Jordan-India_After_one_week.eaf,14,7,17690,19207,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,59,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,172423,174786,India,TRUE,Y,FALSE,Y,TRUE,N,FALSE,N,2 min 52 sec,2 min 54 sec,59,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,172423,174786,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,63,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,184604,185747,India,TRUE,Y,TRUE,Y,FALSE,Y,FALSE,N,3 min 4 sec,3 min 5 sec,63,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,184604,185747,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,66,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,186992,187171,India,FALSE,Y,TRUE,N,FALSE,N,FALSE,Y,3 min 6 sec,3 min 7 sec,66,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,186992,187171,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,70,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,188423,189127,India,TRUE,Y,TRUE,Y,FALSE,Y,FALSE,Y,3 min 8 sec,3 min 9 sec,70,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,188423,189127,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,75,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,192461,195418,India,TRUE,Y,FALSE,Y,FALSE,N,FALSE,Y,3 min 12 sec,3 min 15 sec,75,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,192461,195418,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,94,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,196930,199185,Jordan,FALSE,Y,FALSE,Y,FALSE,Y,TRUE,N,3 min 16 sec,3 min 19 sec,94,Colour_game_01_1_Jordan-India_After_one_week.eaf,17,24,196930,199185,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,118,Colour_game_01_1_Jordan-India_After_one_week.eaf,21,18,1279911,1281176,India,FALSE,Y,TRUE,Y,FALSE,N,FALSE,N,21 min 19 sec,21 min 21 sec,118,Colour_game_01_1_Jordan-India_After_one_week.eaf,21,18,1279911,1281176,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
