"","filename","trialID","director","speaker","trial_value","trial_start","trial_end","trial_length","sign_start","sign_end","sign_length","sign_value","sign_notes","iconic","signOrigin","T0Check","CandidateUnderstanding","TryMarked","Indexicality","Teach","T_minus_1","T0","week","session","part1","part2","originalSignLabel","speakerName","inventedBy","IX","OS","LW","SE","freq_week_1_total","freq_week_4_total","freq_week4_withinColour","prop_week4_withinColour"
"198","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,94977,95603,626,"SAME",NA,NA,NA,FALSE,"No",FALSE,"no",FALSE,FALSE,FALSE,1,"1","Nepal","Indonesia","SAME","Nepal","Jordan",FALSE,FALSE,FALSE,FALSE,28,13,0,0
"199","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,96075,97325,1250,"YELLOW-CHEST","OS",NA,"NSL",FALSE,"No",TRUE,"no",FALSE,TRUE,FALSE,1,"1","Nepal","Indonesia","YELLOW(NSL)","Nepal","Nepal",FALSE,TRUE,FALSE,FALSE,12,1,0,0
"200","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,105619,106092,473,"RED(FRONTLET)","OS",NA,NA,FALSE,"No",FALSE,"yes",FALSE,FALSE,FALSE,1,"1","Nepal","Indonesia","RED(frontlet) ","Nepal","Nepal",FALSE,TRUE,FALSE,FALSE,25,4,0,0
"217","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,106941,108226,1285,"RED(FRONTLET)","OS",NA,NA,TRUE,"No",FALSE,"yes",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","RED(frontlet) ","Indonesia","Nepal",FALSE,TRUE,FALSE,FALSE,25,4,0,0
"201","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,107454,111125,3671,"EAT","SE",NA,NA,FALSE,"No",TRUE,"no",FALSE,TRUE,FALSE,1,"1","Nepal","Indonesia","EAT","Nepal","Nepal",FALSE,FALSE,FALSE,TRUE,4,0,0,0
"218","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,108298,110476,2178,"EAT","SE",NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","EAT","Indonesia","Nepal",FALSE,FALSE,FALSE,TRUE,4,0,0,0
"202","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,114517,117836,3319,"EAT EVERYDAY","SE",NA,NA,FALSE,"No",TRUE,"no",FALSE,TRUE,FALSE,1,"1","Nepal","Indonesia","EAT everyday","Nepal","Nepal",FALSE,FALSE,FALSE,TRUE,2,0,0,0
"219","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,115968,118396,2428,"EAT EVERYDAY","SE",NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","EAT everyday","Indonesia","Nepal",FALSE,FALSE,FALSE,TRUE,2,0,0,0
"203","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,118791,119255,464,"RED(MOUTH)","OS",NA,NA,FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Nepal","Indonesia","RED(mouth)","Nepal","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"220","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,119709,121361,1652,"RED(MOUTH)","OS",NA,NA,TRUE,"No",FALSE,"Yes-body",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","RED(mouth)","Indonesia","Nepal",FALSE,TRUE,FALSE,FALSE,26,14,0,0
"221","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,124000,125600,1600,"RED(FRONTLET)","OS",NA,NA,TRUE,"Yes",FALSE,"yes",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","RED(frontlet) ","Indonesia","Nepal",FALSE,TRUE,FALSE,FALSE,25,4,0,0
"222","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,129365,132149,2784,"GREEN-CHEST","OS",NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","GREEN(ISL)","Indonesia","Indonesia",FALSE,TRUE,FALSE,FALSE,16,12,0,0
"205","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,132227,132861,634,"GREEN-NSL","OS",NA,"NSL",FALSE,"No",FALSE,"no",FALSE,FALSE,FALSE,1,"1","Nepal","Indonesia","GREEN(NSL)","Nepal","Indonesia",FALSE,TRUE,FALSE,FALSE,13,0,0,0
"207","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,133269,136094,2825,"IX:RING","IX",NA,"",FALSE,"No",FALSE,"yes",FALSE,TRUE,FALSE,1,"1","Nepal","Indonesia","ring","Nepal","Nepal",TRUE,FALSE,FALSE,FALSE,1,0,0,0
"223","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,136184,139962,3778,"EAT","SE",NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","EAT","Indonesia","Nepal",FALSE,FALSE,FALSE,TRUE,4,0,0,0
"224","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,140069,144169,4100,"LEMON","LW",NA,NA,TRUE,"Yes",FALSE,"yes",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","LEMON","Indonesia","Indonesia",FALSE,FALSE,TRUE,FALSE,6,0,0,0
"225","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,148455,149100,645,"IX:FOREST","IX",NA,NA,TRUE,"No",FALSE,"yes",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","forest","Indonesia","Indonesia",TRUE,FALSE,FALSE,FALSE,6,0,0,0
"226","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,149100,154267,5167,"PLANTS","LW",NA,NA,TRUE,"Yes",FALSE,"yes",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","PLANTS","Indonesia","Indonesia",FALSE,FALSE,TRUE,FALSE,6,0,0,0
"16","Colour_game_01_1_Jordan-India_After_one_week.eaf",7,1,1,"6",153552,154722,1170,153675,154541,866,"WHITE","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","WHITE","Jordan","Jordan",FALSE,TRUE,FALSE,FALSE,17,8,0,0
"227","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,155193,156553,1360,"GREEN-CHEST","OS",NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","GREEN(ISL)","Indonesia","Indonesia",FALSE,TRUE,FALSE,FALSE,16,12,0,0
"100","Colour_game_01_1_Jordan-India_After_one_week.eaf",18,2,2,"6",154909,157137,2228,155229,156986,1757,"WHITE","OS",NA,NA,FALSE,"No",FALSE,"Yes-body",FALSE,FALSE,FALSE,1,"1","Jordan","India","WHITE","India","Jordan",FALSE,TRUE,FALSE,FALSE,17,8,0,0
"209","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,1,"18",69619,192119,122500,156619,159419,2800,"YELLOW-CHEST","OS",NA,"NSL",FALSE,"No",FALSE,"no",FALSE,TRUE,FALSE,1,"1","Nepal","Indonesia","YELLOW(NSL)","Nepal","Nepal",FALSE,TRUE,FALSE,FALSE,12,1,0,0
"228","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,1,2,"18",69619,192119,122500,159800,190400,30600,"DO NOT UNDERSTAND",NA,NA,NA,TRUE,"No",FALSE,"no",FALSE,FALSE,TRUE,1,"1","Nepal","Indonesia","Do not understand","Indonesia","Indonesia",FALSE,FALSE,FALSE,FALSE,1,0,0,0
"53","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,166720,168620,1900,"IX:TONGUE","IX",NA,NA,FALSE,"No",TRUE,"Yes-body",FALSE,TRUE,FALSE,1,"1","Jordan","India","tongue","India","India",TRUE,FALSE,FALSE,FALSE,14,3,0,0
"54","Colour_game_01_1_Jordan-India_After_one_week.eaf",17,2,2,"24",166464,226582,60118,168815,169241,426,"FLOWER","LW",NA,NA,FALSE,"No",FALSE,"no",FALSE,FALSE,FALSE,1,"1","Jordan","India","FLOWER","India","Indonesia",FALSE,FALSE,TRUE,FALSE,24,7,0,0
