"","colour","colourName","sign","freq_week_1_total","freq_week_4_total","freq_week_1","freq_week_4","prop_week_1","prop_week_4","origin","iconic","check","indexical","inventedBy","TryMarked","Teach","averageLength_week_1","averageTrialLength_week_1","BodyAnchor"
"1","1","red","RED-BROW",16,3,7,3,0.333333333333333,0.272727272727273,"NSL","No",0,"Yes-body","Indonesia",3,0,1326,4508,"yes"
"2","1","red","RED",24,15,5,8,0.238095238095238,0.727272727272727,"INSL+JSL","No",0,"Yes-body","Nepal",4,0,566,5644,"yes"
"3","1","red","PRAYER",1,NA,1,0,0.0476190476190476,0,"None","No",0,"No","India",1,0,1610,5644,NA
"4","1","red","RED-BLOOD",5,NA,3,0,0.142857142857143,0,"None","No",1,"No","Nepal",0,0,1350,5644,"yes"
"5","1","red","PLANTS",6,NA,1,0,0.0476190476190476,0,"None","No",0,"No","Indonesia",0,0,1316,8912,"no"
"6","1","red","DARK",19,3,1,0,0.0476190476190476,0,"None","No",0,"No","India",0,0,649.8,7804,"no"
"7","1","red","FIRST",1,NA,1,0,0.0476190476190476,0,"None","No",0,"No","Indonesia",0,0,1115.33333333333,6663,"no"
"8","1","red","BRIGHT",18,2,2,0,0.0952380952380952,0,"None","No",0,"No","Indonesia",0,0,1278.42857142857,5091.71428571429,"no"
"9","5","brown","BROWN",14,9,12,9,0.307692307692308,0.6,"Mixed","No",0,"Yes-body","Nepal",8,1,210,15772,"no"
"10","5","brown","DARK",19,3,3,0,0.0769230769230769,0,"None","No",1,"No","India",2,0,1489.33333333333,20437.3333333333,"no"
"11","5","brown","BROWN(INSL)",3,NA,3,0,0.0769230769230769,0,"INSL","No",0,"Yes-body","Jordan",2,0,1944.66666666667,14064.6666666667,NA
"12","5","brown","FACE",1,NA,1,0,0.0256410256410256,0,"None","No",0,"No","Indonesia",1,0,2067,36050,"yes"
"13","5","brown","SAME",29,13,4,2,0.102564102564103,0.133333333333333,"None","No",0,"No","Jordan",2,0,1342.66666666667,13615.3333333333,"no"
"14","5","brown","SIWASH",1,NA,1,0,0.0256410256410256,0,"None","No",0,"No","Indonesia",1,0,189,12120,"no"
"15","5","brown","FACE+DARK",1,NA,1,0,0.0256410256410256,0,"None","No",0,"Yes-body","Indonesia",1,0,740,20040,"yes"
"16","5","brown","BRIGHT",18,2,1,0,0.0256410256410256,0,"None","No",1,"No","Indonesia",0,0,1149,20040,"no"
"17","5","brown","TREE-POST",4,NA,4,0,0.102564102564103,0,"None","No",0,"No","India",4,0,3533,36050,"no"
"18","5","brown","THE DOOR",3,NA,3,0,0.0769230769230769,0,"None","No",0,"No","Nepal",3,0,508.5,26065,"no"
"19","5","brown","DOOR",1,NA,1,0,0.0256410256410256,0,"None","No",0,"No","Nepal",1,0,1199,20040,"no"
"20","5","brown","WATCH",1,3,1,3,0.0256410256410256,0.2,"None","No",1,"Yes","Jordan",0,0,2079.66666666667,12120,"no"
"21","5","brown","POST",1,NA,1,0,0.0256410256410256,0,"None","No",0,"No","India",1,0,479,36050,NA
"22","5","brown","THERE",5,NA,2,0,0.0512820512820513,0,"None","No",0,"Yes-body","Indonesia",0,0,3224.5,30980.5,"no"
"23","5","brown","COLUMN",1,NA,1,0,0.0256410256410256,0,"None","No",0,"No","India",0,0,700,12120,"no"
"24","7","black","SAME",29,13,2,0,0.0952380952380952,0,"None","No",0,"No","Jordan",1,0,1330.53846153846,4994.07692307692,"no"
"25","7","black","BLACK",15,18,13,13,0.619047619047619,1,"ISL","No",1,"Yes-body","Jordan",1,0,1494,10633,"yes"
"26","7","black","DARK",19,3,3,0,0.142857142857143,0,"None","No",1,"No","India",1,0,1596.66666666667,10633,"no"
"27","7","black","NIGHT",1,NA,1,0,0.0476190476190476,0,"None","No",0,"No","Jordan",1,0,908,3954,"no"
"28","7","black","CHECK",1,NA,1,0,0.0476190476190476,0,"None","No",1,"No","India",0,0,1544,10633,NA
"29","7","black","HAIR",1,NA,1,0,0.0476190476190476,0,"None","No",0,"Yes-body","India",0,0,851,10633,"yes"
"30","14","green","GREEN-NSL",9,NA,5,0,0.178571428571429,0,"NSL","No",1,"No","Nepal",1,1,656,3012,NA
"31","14","green","REPEAT",10,1,3,1,0.107142857142857,0.0625,"None","No",3,"No","Indonesia",0,0,1173,2626,"no"
"32","14","green","PLANTS",6,NA,3,0,0.107142857142857,0,"None","No",1,"No","Indonesia",0,0,1367.14285714286,4940.85714285714,"no"
"33","14","green","THERE",5,NA,1,0,0.0357142857142857,0,"None","No",0,"Yes","Indonesia",0,0,1712.4,3141,"no"
"34","14","green","GREEN-CHEST",14,10,7,10,0.25,0.625,"ISL","No",0,"No","Nepal",3,0,868,1400,"no"
"35","14","green","RED-BLOOD",5,NA,2,0,0.0714285714285714,0,"None","No",0,"Yes-body","Nepal",2,0,903,3184.66666666667,"yes"
"36","14","green","SAME",29,13,1,0,0.0357142857142857,0,"None","No",0,"No","Jordan",1,0,1223,7731,"no"
"37","14","green","TREE",5,NA,2,0,0.0714285714285714,0,"None","No",1,"No","Nepal",0,0,1054.33333333333,3354.33333333333,"no"
"38","14","green","GREEN",2,NA,1,0,0.0357142857142857,0,"NSL","No",0,"No","Indonesia",0,0,322,7731,"no"
"39","14","green","WALL",3,1,1,0,0.0357142857142857,0,"None","No",0,"Yes","Nepal",0,0,1480,2940,NA
"40","14","green","GREEN1/1",1,NA,1,0,0.0357142857142857,0,"None","No",1,"No","India",0,0,198.5,4565.5,NA
"41","14","green","CORRECT",1,6,1,5,0.0357142857142857,0.3125,"None","No",0,"No","Indonesia",0,0,1117,2626,"no"
"42","18","yellow","YELLOW-CHEST",12,1,12,1,0.122448979591837,0.0303030303030303,"NSL","No",0,"No","Nepal",8,1,1396.8,16013.2,NA
"43","18","yellow","THERE",5,NA,2,0,0.0204081632653061,0,"None","No",2,"No","Indonesia",0,0,1081,13583,"no"
"44","18","yellow","PLANTS",6,NA,2,0,0.0204081632653061,0,"None","No",2,"No","Indonesia",0,0,587,59086,"no"
"45","18","yellow","GREEN",2,NA,1,0,0.0102040816326531,0,"None","No",1,"No","Indonesia",0,0,307,15158,"no"
"46","18","yellow","SAME",29,13,10,3,0.102040816326531,0.0909090909090909,"None","No",0,"No","Jordan",5,1,30600,122500,"no"
"47","18","yellow","EAT+PEEL",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",1,1,2900,16200,NA
"48","18","yellow","REPEAT",10,1,7,0,0.0714285714285714,0,"None","No",7,"No","Indonesia",0,1,1266,11827,"no"
"49","18","yellow","GREEN-CHEST",14,10,5,0,0.0510204081632653,0,"ISL","No",2,"No","Nepal",2,0,3524.5,68829,"no"
"50","18","yellow","GREEN-NSL",9,NA,4,0,0.0408163265306122,0,"NSL","No",0,"No","Nepal",2,0,8534,122500,NA
"51","18","yellow","EAT",2,NA,2,0,0.0204081632653061,0,"None","No",1,"No","Nepal",1,0,5115,122500,NA
"52","18","yellow","RED",24,15,3,0,0.0306122448979592,0,"None","No",3,"No","Nepal",0,0,1628,15158,"yes"
"53","18","yellow","EAT EVERYDAY",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",1,0,499,122500,NA
"54","18","yellow","RING",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",0,0,1175.4,35366.4,NA
"55","18","yellow","LEMON",6,NA,6,0,0.0612244897959184,0,"None","No",2,"No","Indonesia",4,2,576.75,68041.5,"no"
"56","18","yellow","DO NOT UNDERSTAND",1,NA,1,0,0.0102040816326531,0,"None","No",1,"No","Indonesia",0,0,437,6302,NA
"57","18","yellow","ORANGE",7,2,2,0,0.0204081632653061,0,"None","No",0,"No","Nepal",2,0,464,15158,NA
"58","18","yellow","BRIGHT",18,2,10,0,0.102040816326531,0,"None","No",1,"No","Indonesia",6,1,1513.33333333333,31207.5,"no"
"59","18","yellow","DARK",19,3,1,0,0.0102040816326531,0,"None","No",0,"No","India",1,0,920,16200,"no"
"60","18","yellow","PAINT THE WALL",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",1,0,2521,11827,NA
"61","18","yellow","DRINK",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",1,0,7168.5,37643,NA
"62","18","yellow","LITTER",1,NA,1,0,0.0102040816326531,0,"None","No",1,"No","Indonesia",0,0,379,13583,NA
"63","18","yellow","SUN",5,4,5,4,0.0510204081632653,0.121212121212121,"None","No",1,"No","Indonesia",4,1,2220,59086,"no"
"64","18","yellow","YES",3,NA,1,0,0.0102040816326531,0,"None","No",0,"No","India",0,0,3193.5,122500,"no"
"65","18","yellow","YELLOW(ISL)",4,5,4,5,0.0408163265306122,0.151515151515152,"ISL","No",0,"Yes-body","India",6,2,1301.66666666667,101362,NA
"66","18","yellow","L",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","India",0,0,2795.14285714286,107314.285714286,NA
"67","18","yellow","SIGNING",5,1,1,1,0.0102040816326531,0.0303030303030303,"None","No",0,"No","India",2,2,2825,122500,"no"
"68","18","yellow","DIFFERENT",4,NA,1,0,0.0102040816326531,0,"None","No",0,"No","India",1,1,5363,6000,"no"
"69","18","yellow","THAT",1,2,1,2,0.0102040816326531,0.0606060606060606,"None","No",0,"No","India",2,1,1047.1,31113.5,"no"
"70","18","yellow","FLOOR",1,NA,1,0,0.0102040816326531,0,"None","No",0,"Yes-body","India",0,0,222,15158,NA
"71","18","yellow","OUT",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",1,0,681,6590,"no"
"72","18","yellow","TREE",5,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",1,0,949.2,10110.4,"no"
"73","18","yellow","COLOR",2,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Jordan",1,0,473,15158,"no"
"74","18","yellow","LW:CAP(POLICE)'S LW:BOLD PATTRN OF DRESS",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Jordan",1,0,442.5,122500,"no"
"75","18","yellow","DRIVE",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Jordan",1,0,593,13583,"no"
"76","18","yellow","YELLOW",1,1,1,1,0.0102040816326531,0.0303030303030303,"ISL","No",0,"Yes-body","India",1,0,1750,6302,"no"
"77","18","yellow","IX",2,NA,1,0,0.0102040816326531,0,"None","No",0,"Yes","Indonesia",1,0,1747.41666666667,52880,NA
"78","18","yellow","SKY",5,1,1,0,0.0102040816326531,0,"None","No",0,"No","India",1,0,1033.25,12183.25,"no"
"79","18","yellow","ROAD-BLIND",1,NA,1,0,0.0102040816326531,0,"None","No",0,"No","Nepal",1,0,550,16200,NA
"80","24","pink","FLOWER",17,7,17,7,0.193181818181818,0.7,"None","No",2,"No","Indonesia",8,0,1523,25603.75,"no"
"81","24","pink","RED",24,15,8,0,0.0909090909090909,0,"Mixed","No",1,"Yes-body","Nepal",5,1,3149,13607,"yes"
"82","24","pink","DARK",19,3,1,0,0.0113636363636364,0,"None","No",1,"No","India",0,0,1003,60118,"no"
"83","24","pink","BRIGHT",18,2,4,0,0.0454545454545455,0,"None","No",0,"No","Indonesia",3,0,1325,14345,"no"
"84","24","pink","RED-BROW",16,3,6,0,0.0681818181818182,0,"NSL","No",0,"Yes-body","Indonesia",5,0,442.666666666667,45318.6666666667,"yes"
"85","24","pink","IX",2,NA,1,0,0.0113636363636364,0,"None","No",0,"No","Indonesia",1,0,1841.23529411765,24558.2941176471,NA
"86","24","pink","OTHER",1,NA,1,0,0.0113636363636364,0,"None","No",0,"No","Indonesia",1,0,2505,60118,"no"
"87","24","pink","TONGUE",16,3,16,3,0.181818181818182,0.3,"None","No",0,"Yes-body","India",10,3,853,14345,"yes"
"88","24","pink","LIPSTICK",2,NA,2,0,0.0227272727272727,0,"None","No",0,"No","India",2,1,2017,60118,"yes"
"89","24","pink","IX:TONGUE +IX:LIP+DIFFERENT",1,NA,1,0,0.0113636363636364,0,"None","No",0,"Yes-body","India",1,0,964,60118,NA
"90","24","pink","IX:TONGUE+IX:LIP",1,NA,1,0,0.0113636363636364,0,"None","No",0,"Yes-body","India",1,0,814.5,60118,NA
"91","24","pink","SAME",29,13,5,0,0.0568181818181818,0,"None","No",1,"Yes-body","Jordan",3,0,411.333333333333,60118,"no"
"92","24","pink","LIP",3,NA,3,0,0.0340909090909091,0,"None","No",0,"Yes-body","India",3,3,511,60118,"yes"
"93","24","pink","SIGNING",5,1,4,0,0.0454545454545455,0,"None","No",0,"No","India",3,3,229.333333333333,60118,"no"
"94","24","pink","HOW SIGN",1,NA,1,0,0.0113636363636364,0,"None","No",1,"No","Jordan",0,0,554,60118,NA
"95","24","pink","RED(ISL)",2,NA,2,0,0.0227272727272727,0,"None","No",0,"Yes-body","India",0,0,1448,14345,"yes"
"96","24","pink","수화 같은가",1,NA,1,0,0.0113636363636364,0,"None","No",1,"No","Jordan",0,0,1048,60118,NA
"97","24","pink","DIFFERENT",4,NA,3,0,0.0340909090909091,0,"None","No",0,"No","India",1,0,1380.25,43032.75,"no"
"98","24","pink","NOT",3,NA,1,0,0.0113636363636364,0,"None","No",0,"No","India",0,0,536.833333333333,17859.3333333333,"no"
"99","24","pink","COLOR",2,NA,1,0,0.0113636363636364,0,"None","No",0,"No","Jordan",0,0,2104.5,60118,"no"
"100","24","pink","JORDAN",2,NA,2,0,0.0227272727272727,0,"None","No",0,"No","Jordan",0,0,627.6,33479.2,"no"
"101","24","pink","ME",3,NA,3,0,0.0340909090909091,0,"None","No",0,"No","Jordan",0,0,389.75,60118,"no"
"102","24","pink","PINK",1,NA,1,0,0.0113636363636364,0,"JSL","No",0,"No","Jordan",0,0,889.5625,49018.5,"no"
"103","24","pink","YES",3,NA,1,0,0.0113636363636364,0,"None","No",0,"No","India",0,0,322,60118,"no"
"104","24","pink","CLOWN",2,NA,2,0,0.0227272727272727,0,"None","No",0,"Yes","Indonesia",2,0,2727,60118,"yes"
"610","6","white","WHITE",18,9,15,7,1,1,"None","No",2,"Yes-body","Jordan",0,0,1534.66666666667,5653.6,"yes"
