"","filename","trialID","sign_start_mmss","sign_value"
"234","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:28","RED-BROW"
"236","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:30","RED"
"237","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:30","RED"
"238","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:31","RED-BROW"
"244","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",11,"02:05","SAME"
"251","Colour_game_01_2_Nepal-India_After_one_week.eaf",27,"03:12","SAME"
"254","Colour_game_01_2_Nepal-India_After_one_week.eaf",27,"03:16","SAME"
"261","Colour_game_01_2_Nepal-India_After_one_week.eaf",27,"03:23","SAME"
"271","Colour_game_01_2_Nepal-India_After_one_week.eaf",36,"07:16","SAME"
"279","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",29,"08:30","RED"
"285","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",32,"10:01","SAME"
"288","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"10:57","RED"
"292","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:03","SAME"
"293","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:03","FLOWER"
"295","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:05","SAME"
"296","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:06","FLOWER"
"298","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:09","SAME"
"299","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:10","FLOWER"
"300","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:11","FLOWER"
"301","Colour_game_01_2_Nepal-India_After_one_week.eaf",33,"11:36","RED"
"302","Colour_game_01_2_Nepal-India_After_one_week.eaf",33,"11:36","RED-BROW"
"311","Colour_game_01_2_Nepal-India_After_one_week.eaf",34,"13:43","TREE-POST"
"321","Colour_game_01_2_Nepal-India_After_one_week.eaf",9,"18:03","RED-BROW"
"323","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",16,"00:23","RED-BROW"
"324","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",23,"00:23","RED-BROW"
"330","Colour_game_01_3_Indonesia-India_After_one_week.eaf",11,"05:07","RED-BROW"
"331","Colour_game_01_3_Indonesia-India_After_one_week.eaf",11,"05:09","RED"
"339","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",29,"06:34","SAME"
"341","Colour_game_01_3_Indonesia-India_After_one_week.eaf",7,"07:10","FLOWER"
"345","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",14,"09:09","FLOWER"
"346","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",26,"09:09","FLOWER"
"347","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",14,"09:10","RED-BROW"
"348","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",26,"09:10","RED-BROW"
"349","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",14,"09:10","FLOWER"
"350","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",26,"09:10","FLOWER"
"351","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",26,"09:12","FLOWER"
"352","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",26,"09:15","RED-BROW"
"353","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",26,"09:16","FLOWER"
"356","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:03","TREE-POST"
"357","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:05","TREE-POST"
"359","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:11","SAME"
"365","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:24","SAME"
"367","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:32","TREE-POST"
"369","Colour_game_01_3_Indonesia-India_After_one_week.eaf",30,"16:16","SAME"
"372","Colour_game_01_3_Indonesia-India_After_one_week.eaf",30,"16:19","SAME"
"378","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",22,"16:48","SAME"
"385","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",4,"17:19","SAME"
"386","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",27,"17:19","SAME"
