"","filename","trialID","sign_start_mmss","sign_value"
"1","Colour_game_01_1_Jordan-India_After_one_week.eaf",1,"00:09","SAME"
"12","Colour_game_01_1_Jordan-India_After_one_week.eaf",1,"00:19","SAME"
"13","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,"00:48","FLOWER"
"14","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,"00:52","RED"
"17","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,"00:56","RED-BROW"
"18","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,"00:57","RED-BROW"
"32","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:20","SAME"
"40","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:34","SAME"
"43","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:46","RED"
"46","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"02:04","RED"
"64","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:50","RED"
"66","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:52","RED"
"70","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:00","SAME"
"71","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:00","FLOWER"
"72","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:04","RED"
"83","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:12","FLOWER"
"89","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",18,"03:23","RED"
"92","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:25","RED"
"95","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:26","SAME"
"101","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",18,"03:29","RED"
"104","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:32","RED-BROW"
"108","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:33","RED"
"114","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:38","FLOWER"
"118","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:42","FLOWER"
"120","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:44","FLOWER"
"128","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",8,"06:09","SAME"
"129","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",8,"06:10","SAME"
"134","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",9,"07:24","RED"
"139","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",6,"08:06","RED-BROW"
"144","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,"09:24","SAME"
"153","Colour_game_01_1_Jordan-India_After_one_week.eaf",8,"13:30","SAME"
"155","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:50","RED"
"156","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:52","RED"
"157","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:53","RED"
"158","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:53","RED"
"170","Colour_game_01_1_Jordan-India_After_one_week.eaf",35,"18:56","RED"
"171","Colour_game_01_1_Jordan-India_After_one_week.eaf",35,"18:56","RED-BROW"
"181","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:21","SAME"
"212","Colour_game_01_1_Jordan-India_After_one_week.eaf",29,"31:32","SAME"
"231","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:26","RED-BROW"
"232","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:27","RED"
"233","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:27","RED"
