"","colourName","sign"
"1","red","RED(FRONTLET)"
"2","red","RED(MOUTH)"
"3","red","RED(IMOUTH)"
"4","red","PRAYER"
"5","red","RED-BLOOD"
"6","brown","IX:'BACK OF ONE'S HAND'"
"7","brown","DARK"
"8","brown","IX:ARM"
"9","brown","BLACK"
"10","brown","BOOGER"
"11","brown","FACE+DARK"
"13","brown","SIWASH"
"14","brown","IX:FACE#DARK"
"15","brown","IX:WATCH"
"16","brown","BRIGHT"
"17","brown","TREE-STRUT+IX"
"18","brown","THE DOOR"
"19","brown","IX:DOOR"
"20","brown","TREE-STRUT"
"21","brown","STRUT+IX"
"22","brown","STRUT"
"23","brown","IX:FOREST"
"24","brown","DARK#FACE"
"25","brown","IX:WALL"
"26","brown","TREE"
"27","brown","DARK-CIRCLES AROUND THE EYES"
"28","black","BLACK"
"29","black","DARK"
"30","black","DARK-NIGHT"
"31","black","NIGHT"
"33","black","HAIR"
"34","black","'BLANK'"
"35","black","CORRECT"
"36","green","GREEN-NSL"
"37","green","PLANTS"
"38","green","IX:FOREST"
"39","green","GREEN-CHEST"
"40","green","DARK"
"41","green","FIRST"
"42","green","BRIGHT"
"43","green","IX:BLOOD VESSEL"
"45","green","TREE"
"46","green","IX:WALL"
"47","green","CORRECT"
"48","yellow","YELLOW-CHEST"
"49","yellow","IX:FOREST"
"50","yellow","PLANTS"
"51","yellow","GREEN-NSL"
"53","yellow","EAT+PEEL"
"54","yellow","GREEN-CHEST"
"55","yellow","RED(FRONTLET)"
"56","yellow","EAT"
"57","yellow","EAT EVERYDAY"
"58","yellow","RED(MOUTH)"
"59","yellow","IX:RING"
"60","yellow","LEMON"
"62","yellow","EAT#FOOD"
"63","yellow","ORANGE JUICE^DRINK"
"64","yellow","EVERY DAY^DRINK"
"65","yellow","BRIGHT"
"66","yellow","DARK"
"67","yellow","IX#SOMETHING"
"68","yellow","PAINT THE WALL"
"69","yellow","DRINK"
"70","yellow","ORANGE"
"71","yellow","SALTY"
"72","yellow","SUN"
"74","yellow","YELLOW(ISL)"
"75","yellow","L"
"78","yellow","IX:FLOOR"
"79","yellow","TREE"
"80","yellow","COLOR"
"81","yellow","LW:CAP(POLICE)'S LW:BOLD PATTRN OF DRESS"
"82","yellow","DRIVE"
"83","yellow","IX:SKY"
"84","yellow","IX:CHAIR"
"85","yellow","'LE'"
"86","yellow","WHITE"
"87","pink","FLOWER"
"88","pink","RED(FRONTLET)"
"89","pink","DARK"
"90","pink","BRIGHT"
"92","pink","IX:TONGUE"
"93","pink","RED(MOUTH)"
"94","pink","LIPSTICK"
"95","pink","RED(MOUTH) + NOT+DIFFERENT"
"96","pink","IX:TONGUE +IX:LIP+DIFFERENT"
"97","pink","IX:TONGUE+IX:LIP"
"99","pink","IX:LIP"
"101","pink","OS:RED(MOUTH)+IX:TONGUE+DIFFFERENT"
"102","pink","IX:PARTITION"
"104","pink","COLOR"
"105","pink","JORDAN"
"106","pink","RED-BROW"
"108","pink","PINK(JSL)"
"110","pink","CLOWN"
"111","pink","IX:CLOWN#FACE"
