"","filename","trialID","sign_start_mmss","sign_value"
"187","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:25","BRIGHT"
"214","Colour_game_01_1_Jordan-India_After_one_week.eaf",28,"33:49","BROWN"
"219","Colour_game_01_1_Jordan-India_After_one_week.eaf",28,"33:56","BROWN"
"220","Colour_game_01_2_Nepal-India_After_one_week.eaf",16,"00:10","YELLOW-CHEST"
"229","Colour_game_01_2_Nepal-India_After_one_week.eaf",16,"00:18","BRIGHT"
"232","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:27","RED"
"233","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:27","RED"
"236","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:30","RED"
"237","Colour_game_01_2_Nepal-India_After_one_week.eaf",32,"00:30","RED"
"243","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",11,"02:01","BRIGHT"
"247","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",11,"02:09","BRIGHT"
"266","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",23,"03:36","BRIGHT"
"274","Colour_game_01_2_Nepal-India_After_one_week.eaf",2,"07:35","YELLOW-CHEST"
"275","Colour_game_01_2_Nepal-India_After_one_week.eaf",2,"07:36","LEMON"
"276","Colour_game_01_2_Nepal-India_After_one_week.eaf",2,"07:37","BRIGHT"
"279","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",29,"08:30","RED"
"280","Colour_game_01_2_Jordan-Indonesia_After_one_week.eaf",29,"08:31","BRIGHT"
"288","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"10:57","RED"
"289","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"10:59","TONGUE"
"291","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:01","TONGUE"
"294","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:05","TONGUE"
"297","Colour_game_01_2_Nepal-India_After_one_week.eaf",20,"11:09","TONGUE"
"301","Colour_game_01_2_Nepal-India_After_one_week.eaf",33,"11:36","RED"
"305","Colour_game_01_2_Nepal-India_After_one_week.eaf",34,"13:33","BROWN"
"306","Colour_game_01_2_Nepal-India_After_one_week.eaf",34,"13:35","BROWN"
"307","Colour_game_01_2_Nepal-India_After_one_week.eaf",34,"13:36","BROWN"
"308","Colour_game_01_2_Nepal-India_After_one_week.eaf",34,"13:36","BRIGHT"
"310","Colour_game_01_2_Nepal-India_After_one_week.eaf",34,"13:38","BROWN"
"312","Colour_game_01_2_Nepal-India_After_one_week.eaf",34,"13:48","BROWN"
"331","Colour_game_01_3_Indonesia-India_After_one_week.eaf",11,"05:09","RED"
"332","Colour_game_01_3_Indonesia-India_After_one_week.eaf",11,"05:10","BRIGHT"
"334","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",29,"06:26","BROWN"
"355","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:01","BROWN"
"362","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:14","BROWN"
"363","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:15","BROWN"
"364","Colour_game_01_3_Indonesia-India_After_one_week.eaf",26,"11:21","BROWN"
"371","Colour_game_01_3_Indonesia-India_After_one_week.eaf",30,"16:18","SUN"
"373","Colour_game_01_3_Indonesia-India_After_one_week.eaf",30,"16:20","SUN"
"375","Colour_game_01_3_Indonesia-India_After_one_week.eaf",14,"16:44","BRIGHT"
"377","Colour_game_01_3_Indonesia-India_After_one_week.eaf",14,"16:48","SUN"
"379","Colour_game_01_3_Indonesia-India_After_one_week.eaf",14,"16:48","BRIGHT"
"381","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",4,"17:18","YELLOW-CHEST"
"382","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",27,"17:18","YELLOW-CHEST"
"383","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",4,"17:18","YELLOW-CHEST"
"384","Colour_game_01_3_Jordan-Nepal_After_one_week.eaf",27,"17:18","YELLOW-CHEST"
