"","filename","trialID","sign_start_mmss","sign_value"
"14","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,"00:52","RED"
"16","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,"00:54","BRIGHT"
"23","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",23,"01:00","BRIGHT"
"25","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:09","YELLOW-CHEST"
"36","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:28","YELLOW-CHEST"
"41","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:36","YELLOW-CHEST"
"43","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"01:46","RED"
"46","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"02:04","RED"
"51","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"02:20","LEMON"
"57","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",3,"02:36","YELLOW-CHEST"
"59","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:46","TONGUE"
"60","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:48","BRIGHT"
"61","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:49","TONGUE"
"62","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:49","TONGUE"
"63","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:50","TONGUE"
"64","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:50","RED"
"66","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:52","RED"
"69","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"02:59","TONGUE"
"72","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:04","RED"
"79","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:08","TONGUE"
"81","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:09","TONGUE"
"82","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:10","TONGUE"
"85","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:15","TONGUE"
"88","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:21","TONGUE"
"89","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",18,"03:23","RED"
"92","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:25","RED"
"101","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",18,"03:29","RED"
"108","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:33","RED"
"117","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:41","TONGUE"
"119","Colour_game_01_1_Jordan-India_After_one_week.eaf",26,"03:42","TONGUE"
"125","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",8,"06:01","BRIGHT"
"131","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",9,"07:01","BRIGHT"
"133","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",9,"07:17","YELLOW-CHEST"
"134","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",9,"07:24","RED"
"136","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",9,"07:44","YELLOW-CHEST"
"143","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,"09:23","BRIGHT"
"146","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",14,"09:29","SUN"
"155","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:50","RED"
"156","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:52","RED"
"157","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:53","RED"
"158","Colour_game_01_1_Jordan-India_After_one_week.eaf",16,"13:53","RED"
"167","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",11,"17:00","BROWN"
"168","Colour_game_01_1_Nepal-Indonesia_After_one_week.eaf",11,"17:03","BROWN"
"170","Colour_game_01_1_Jordan-India_After_one_week.eaf",35,"18:56","RED"
"174","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:13","LEMON"
"177","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:17","LEMON"
"178","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:18","SUN"
"180","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:19","LEMON"
"184","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:23","LEMON"
"186","Colour_game_01_1_Jordan-India_After_one_week.eaf",22,"21:25","BRIGHT"
