"","V1","V2","V3","V4"
"1","black","BLACK","13","1"
"2","brown","BROWN","9","0.6"
"3","green","GREEN-CHEST","10","0.625"
"4","pink","FLOWER","7","0.7"
"5","red","RED","8","0.727272727272727"
"6","yellow","YELLOW(ISL)","5","0.151515151515152"
